measure,level,series,sex,mean,sd,dispersion,cohort,n,modality,source_kind,notes,citation
canal_w,L3,Abbas 2021,M,27.0,2.2,SD,"control arm, Israeli",180,CT,primary,,Abbas J et al. BioMed Res Int 2021:7093745
canal_w,L4,Abbas 2021,M,28.6,3.0,SD,"control arm, Israeli",180,CT,primary,,Abbas J et al. BioMed Res Int 2021:7093745
canal_w,L5,Abbas 2021,M,34.9,3.9,SD,"control arm, Israeli",180,CT,primary,,Abbas J et al. BioMed Res Int 2021:7093745
canal_w,L1,Abbas 2021,F,24.5,2.4,SD,"control arm, Israeli",180,CT,primary,,Abbas J et al. BioMed Res Int 2021:7093745
canal_w,L2,Abbas 2021,F,25.4,2.5,SD,"control arm, Israeli",180,CT,primary,,Abbas J et al. BioMed Res Int 2021:7093745
canal_w,L3,Abbas 2021,F,26.5,2.4,SD,"control arm, Israeli",180,CT,primary,,Abbas J et al. BioMed Res Int 2021:7093745
canal_w,L4,Abbas 2021,F,28.7,2.7,SD,"control arm, Israeli",180,CT,primary,,Abbas J et al. BioMed Res Int 2021:7093745
canal_w,L5,Abbas 2021,F,34.8,4.1,SD,"control arm, Israeli",180,CT,primary,,Abbas J et al. BioMed Res Int 2021:7093745
canal_w,L1,Masharawi 2021,M,22.68,2.67,SD,"controls, Israeli",50,CT,primary,,Masharawi Y et al. BMC Musculoskelet Disord 2021;22:1023
canal_w,L2,Masharawi 2021,M,22.59,2.35,SD,"controls, Israeli",50,CT,primary,,Masharawi Y et al. BMC Musculoskelet Disord 2021;22:1023
canal_w,L3,Masharawi 2021,M,22.47,2.73,SD,"controls, Israeli",50,CT,primary,,Masharawi Y et al. BMC Musculoskelet Disord 2021;22:1023
canal_w,L4,Masharawi 2021,M,22.59,2.66,SD,"controls, Israeli",50,CT,primary,,Masharawi Y et al. BMC Musculoskelet Disord 2021;22:1023
canal_w,L5,Masharawi 2021,M,25.23,3.69,SD,"controls, Israeli",50,CT,primary,,Masharawi Y et al. BMC Musculoskelet Disord 2021;22:1023
canal_w,L1,Masharawi 2021,F,20.89,1.61,SD,"controls, Israeli",50,CT,primary,,Masharawi Y et al. BMC Musculoskelet Disord 2021;22:1023
canal_w,L2,Masharawi 2021,F,21.65,2.28,SD,"controls, Israeli",50,CT,primary,,Masharawi Y et al. BMC Musculoskelet Disord 2021;22:1023
canal_w,L3,Masharawi 2021,F,21.97,2.49,SD,"controls, Israeli",50,CT,primary,,Masharawi Y et al. BMC Musculoskelet Disord 2021;22:1023
canal_w,L4,Masharawi 2021,F,22.29,3.52,SD,"controls, Israeli",50,CT,primary,,Masharawi Y et al. BMC Musculoskelet Disord 2021;22:1023
canal_w,L5,Masharawi 2021,F,23.8,3.45,SD,"controls, Israeli",50,CT,primary,,Masharawi Y et al. BMC Musculoskelet Disord 2021;22:1023
canal_w,L1,Amonoo-Kuofi 1982,M,22.6,1.9,SD,"adults, Nigerian",290,"AP radiograph, uncorrected",primary,,Amonoo-Kuofi HS. J Anat 1982;135(2):225-233
canal_w,L2,Amonoo-Kuofi 1982,M,22.7,1.7,SD,"adults, Nigerian",290,"AP radiograph, uncorrected",primary,,Amonoo-Kuofi HS. J Anat 1982;135(2):225-233
canal_w,L3,Amonoo-Kuofi 1982,M,24.5,1.5,SD,"adults, Nigerian",290,"AP radiograph, uncorrected",primary,,Amonoo-Kuofi HS. J Anat 1982;135(2):225-233
canal_w,L4,Amonoo-Kuofi 1982,M,26.0,1.7,SD,"adults, Nigerian",290,"AP radiograph, uncorrected",primary,,Amonoo-Kuofi HS. J Anat 1982;135(2):225-233
canal_w,L5,Amonoo-Kuofi 1982,M,28.7,2.3,SD,"adults, Nigerian",290,"AP radiograph, uncorrected",primary,,Amonoo-Kuofi HS. J Anat 1982;135(2):225-233
canal_w,L1,Amonoo-Kuofi 1982,F,21.3,2.0,SD,"adults, Nigerian",290,"AP radiograph, uncorrected",primary,,Amonoo-Kuofi HS. J Anat 1982;135(2):225-233
canal_w,L2,Amonoo-Kuofi 1982,F,22.5,2.0,SD,"adults, Nigerian",290,"AP radiograph, uncorrected",primary,,Amonoo-Kuofi HS. J Anat 1982;135(2):225-233
canal_w,L3,Amonoo-Kuofi 1982,F,23.7,1.8,SD,"adults, Nigerian",290,"AP radiograph, uncorrected",primary,,Amonoo-Kuofi HS. J Anat 1982;135(2):225-233
canal_w,L4,Amonoo-Kuofi 1982,F,25.4,1.6,SD,"adults, Nigerian",290,"AP radiograph, uncorrected",primary,,Amonoo-Kuofi HS. J Anat 1982;135(2):225-233
canal_w,L5,Amonoo-Kuofi 1982,F,28.4,2.0,SD,"adults, Nigerian",290,"AP radiograph, uncorrected",primary,,Amonoo-Kuofi HS. J Anat 1982;135(2):225-233
canal_w,L1,Alonge 2021,M,23.33,1.9,SD,"adults, Nigerian",120,CT,primary,,Alonge OJ et al. Afr J Med Med Sci 2021;50:69-76
canal_w,L2,Alonge 2021,M,23.62,1.97,SD,"adults, Nigerian",120,CT,primary,,Alonge OJ et al. Afr J Med Med Sci 2021;50:69-76
canal_w,L3,Alonge 2021,M,25.08,2.16,SD,"adults, Nigerian",120,CT,primary,,Alonge OJ et al. Afr J Med Med Sci 2021;50:69-76
canal_w,L4,Alonge 2021,M,27.65,3.01,SD,"adults, Nigerian",120,CT,primary,,Alonge OJ et al. Afr J Med Med Sci 2021;50:69-76
canal_w,L5,Alonge 2021,M,33.5,4.62,SD,"adults, Nigerian",120,CT,primary,,Alonge OJ et al. Afr J Med Med Sci 2021;50:69-76
canal_w,L1,Alonge 2021,F,21.75,1.88,SD,"adults, Nigerian",120,CT,primary,,Alonge OJ et al. Afr J Med Med Sci 2021;50:69-76
canal_w,L2,Alonge 2021,F,22.36,1.86,SD,"adults, Nigerian",120,CT,primary,,Alonge OJ et al. Afr J Med Med Sci 2021;50:69-76
canal_w,L3,Alonge 2021,F,23.78,2.1,SD,"adults, Nigerian",120,CT,primary,,Alonge OJ et al. Afr J Med Med Sci 2021;50:69-76
canal_w,L4,Alonge 2021,F,26.47,2.99,SD,"adults, Nigerian",120,CT,primary,,Alonge OJ et al. Afr J Med Med Sci 2021;50:69-76
canal_w,L5,Alonge 2021,F,31.42,4.0,SD,"adults, Nigerian",120,CT,primary,,Alonge OJ et al. Afr J Med Med Sci 2021;50:69-76
canal_w,L1,Ahmed 2019,M,23.32,2.0,SD,"symptomatic, Indian",80,1.5 T MRI,primary,,Ahmed MA et al. J Chalmeda Anand Rao Inst Med Sci 2019;17(1):21-27
canal_w,L2,Ahmed 2019,M,23.41,2.16,SD,"symptomatic, Indian",80,1.5 T MRI,primary,,Ahmed MA et al. J Chalmeda Anand Rao Inst Med Sci 2019;17(1):21-27
canal_w,L3,Ahmed 2019,M,24.3,1.99,SD,"symptomatic, Indian",80,1.5 T MRI,primary,,Ahmed MA et al. J Chalmeda Anand Rao Inst Med Sci 2019;17(1):21-27
canal_w,L4,Ahmed 2019,M,25.23,2.37,SD,"symptomatic, Indian",80,1.5 T MRI,primary,,Ahmed MA et al. J Chalmeda Anand Rao Inst Med Sci 2019;17(1):21-27
canal_w,L5,Ahmed 2019,M,27.89,2.76,SD,"symptomatic, Indian",80,1.5 T MRI,primary,,Ahmed MA et al. J Chalmeda Anand Rao Inst Med Sci 2019;17(1):21-27
canal_w,L1,Chaudhary 2015,M,24.06,2.2,SD,"adults, Indian",300,"AP radiograph, uncorrected",primary,,Chaudhary S et al. Int J Adv Res 2015;3(8):33-36
canal_w,L2,Chaudhary 2015,M,24.73,2.2,SD,"adults, Indian",300,"AP radiograph, uncorrected",primary,,Chaudhary S et al. Int J Adv Res 2015;3(8):33-36
canal_w,L3,Chaudhary 2015,M,26.01,2.4,SD,"adults, Indian",300,"AP radiograph, uncorrected",primary,,Chaudhary S et al. Int J Adv Res 2015;3(8):33-36
canal_w,L4,Chaudhary 2015,M,27.15,3.9,SD,"adults, Indian",300,"AP radiograph, uncorrected",primary,,Chaudhary S et al. Int J Adv Res 2015;3(8):33-36
canal_w,L5,Chaudhary 2015,M,31.34,5.9,SD,"adults, Indian",300,"AP radiograph, uncorrected",primary,,Chaudhary S et al. Int J Adv Res 2015;3(8):33-36
canal_w,L1,Hinck 1966,all,25.0,2.2,SD,adult controls,50-59 per level,radiograph,secondary,,"Hinck VC et al. 1966, via Ahn NU et al. Acta Orthop Scand 2001;72(1):67-71"
canal_w,L2,Hinck 1966,all,25.5,2.3,SD,adult controls,50-59 per level,radiograph,secondary,,"Hinck VC et al. 1966, via Ahn NU et al. Acta Orthop Scand 2001;72(1):67-71"
canal_w,L3,Hinck 1966,all,26.0,2.7,SD,adult controls,50-59 per level,radiograph,secondary,,"Hinck VC et al. 1966, via Ahn NU et al. Acta Orthop Scand 2001;72(1):67-71"
canal_w,L4,Hinck 1966,all,26.9,3.0,SD,adult controls,50-59 per level,radiograph,secondary,,"Hinck VC et al. 1966, via Ahn NU et al. Acta Orthop Scand 2001;72(1):67-71"
canal_w,L5,Hinck 1966,all,29.7,3.7,SD,adult controls,50-59 per level,radiograph,secondary,,"Hinck VC et al. 1966, via Ahn NU et al. Acta Orthop Scand 2001;72(1):67-71"
canal_w,L1,Eisenstein 1977,M,23,,none,Caucasoid and Zulu,-,dry bone,secondary,"Caucasoid, whole mm","Eisenstein S 1977, via Chaudhary S et al. 2015 (whole mm)"
canal_w,L2,Eisenstein 1977,M,24,,none,Caucasoid and Zulu,-,dry bone,secondary,"Caucasoid, whole mm","Eisenstein S 1977, via Chaudhary S et al. 2015 (whole mm)"
canal_w,L3,Eisenstein 1977,M,23,,none,Caucasoid and Zulu,-,dry bone,secondary,"Caucasoid, whole mm","Eisenstein S 1977, via Chaudhary S et al. 2015 (whole mm)"
canal_w,L4,Eisenstein 1977,M,24,,none,Caucasoid and Zulu,-,dry bone,secondary,"Caucasoid, whole mm","Eisenstein S 1977, via Chaudhary S et al. 2015 (whole mm)"
canal_w,L5,Eisenstein 1977,M,26,,none,Caucasoid and Zulu,-,dry bone,secondary,"Caucasoid, whole mm","Eisenstein S 1977, via Chaudhary S et al. 2015 (whole mm)"
canal_ap,L1,Panjabi 1992,all,19.0,0.67,SEM,cadaveric dry bone,12,3-D digitiser,primary,,Panjabi MM et al. Spine 1992;17(3):299-306
canal_ap,L2,Panjabi 1992,all,18.2,0.53,SEM,cadaveric dry bone,12,3-D digitiser,primary,,Panjabi MM et al. Spine 1992;17(3):299-306
canal_ap,L3,Panjabi 1992,all,17.5,0.53,SEM,cadaveric dry bone,12,3-D digitiser,primary,,Panjabi MM et al. Spine 1992;17(3):299-306
canal_ap,L4,Panjabi 1992,all,18.6,0.71,SEM,cadaveric dry bone,12,3-D digitiser,primary,,Panjabi MM et al. Spine 1992;17(3):299-306
canal_ap,L5,Panjabi 1992,all,19.7,0.49,SEM,cadaveric dry bone,12,3-D digitiser,primary,,Panjabi MM et al. Spine 1992;17(3):299-306
canal_ap,T12,Tan 2004,all,12.4,0.3,SEM (defined as SD/n),"cadaveric dry bone, Chinese Singaporean",10,contact digitiser,primary,runs 31-42% below Panjabi,Tan SH et al. Eur Spine J 2004;13(2):137-146
canal_ap,L1,Tan 2004,all,12.5,0.2,SEM (defined as SD/n),"cadaveric dry bone, Chinese Singaporean",10,contact digitiser,primary,runs 31-42% below Panjabi,Tan SH et al. Eur Spine J 2004;13(2):137-146
canal_ap,L2,Tan 2004,all,11.7,0.2,SEM (defined as SD/n),"cadaveric dry bone, Chinese Singaporean",10,contact digitiser,primary,runs 31-42% below Panjabi,Tan SH et al. Eur Spine J 2004;13(2):137-146
canal_ap,L3,Tan 2004,all,11.2,0.3,SEM (defined as SD/n),"cadaveric dry bone, Chinese Singaporean",10,contact digitiser,primary,runs 31-42% below Panjabi,Tan SH et al. Eur Spine J 2004;13(2):137-146
canal_ap,L4,Tan 2004,all,11.2,0.4,SEM (defined as SD/n),"cadaveric dry bone, Chinese Singaporean",10,contact digitiser,primary,runs 31-42% below Panjabi,Tan SH et al. Eur Spine J 2004;13(2):137-146
canal_ap,L5,Tan 2004,all,11.4,0.4,SEM (defined as SD/n),"cadaveric dry bone, Chinese Singaporean",10,contact digitiser,primary,runs 31-42% below Panjabi,Tan SH et al. Eur Spine J 2004;13(2):137-146
canal_ap,L1,Bonczar 2024,all,16.02,1.07,pooled SE,meta-analysis of 18 studies,1481,mixed,primary,pooled SE,Bonczar M et al. Surg Radiol Anat 2024;47(1):22 (includes Panjabi 1992)
canal_ap,L2,Bonczar 2024,all,15.08,1.0,pooled SE,meta-analysis of 18 studies,1481,mixed,primary,pooled SE,Bonczar M et al. Surg Radiol Anat 2024;47(1):22 (includes Panjabi 1992)
canal_ap,L3,Bonczar 2024,all,14.69,0.93,pooled SE,meta-analysis of 18 studies,1481,mixed,primary,pooled SE,Bonczar M et al. Surg Radiol Anat 2024;47(1):22 (includes Panjabi 1992)
canal_ap,L4,Bonczar 2024,all,15.06,1.04,pooled SE,meta-analysis of 18 studies,1481,mixed,primary,pooled SE,Bonczar M et al. Surg Radiol Anat 2024;47(1):22 (includes Panjabi 1992)
canal_ap,L5,Bonczar 2024,all,15.69,1.37,pooled SE,meta-analysis of 18 studies,1481,mixed,primary,pooled SE,Bonczar M et al. Surg Radiol Anat 2024;47(1):22 (includes Panjabi 1992)
canal_ap,L1,Griffith 2016,M,15.46,2.13,SD,"adults, Hong Kong Chinese",1080,CT,primary,,Griffith JF et al. Quant Imaging Med Surg 2016;6(6):671-679
canal_ap,L2,Griffith 2016,M,14.58,2.36,SD,"adults, Hong Kong Chinese",1080,CT,primary,,Griffith JF et al. Quant Imaging Med Surg 2016;6(6):671-679
canal_ap,L3,Griffith 2016,M,14.04,2.45,SD,"adults, Hong Kong Chinese",1080,CT,primary,,Griffith JF et al. Quant Imaging Med Surg 2016;6(6):671-679
canal_ap,L4,Griffith 2016,M,15.34,2.99,SD,"adults, Hong Kong Chinese",1080,CT,primary,,Griffith JF et al. Quant Imaging Med Surg 2016;6(6):671-679
canal_ap,L5,Griffith 2016,M,19.67,3.76,SD,"adults, Hong Kong Chinese",1080,CT,primary,,Griffith JF et al. Quant Imaging Med Surg 2016;6(6):671-679
canal_ap,L1,Griffith 2016,F,15.58,2.02,SD,"adults, Hong Kong Chinese",1080,CT,primary,,Griffith JF et al. Quant Imaging Med Surg 2016;6(6):671-679
canal_ap,L2,Griffith 2016,F,14.87,1.97,SD,"adults, Hong Kong Chinese",1080,CT,primary,,Griffith JF et al. Quant Imaging Med Surg 2016;6(6):671-679
canal_ap,L3,Griffith 2016,F,14.18,2.08,SD,"adults, Hong Kong Chinese",1080,CT,primary,,Griffith JF et al. Quant Imaging Med Surg 2016;6(6):671-679
canal_ap,L4,Griffith 2016,F,15.03,2.75,SD,"adults, Hong Kong Chinese",1080,CT,primary,,Griffith JF et al. Quant Imaging Med Surg 2016;6(6):671-679
canal_ap,L5,Griffith 2016,F,18.12,3.28,SD,"adults, Hong Kong Chinese",1080,CT,primary,,Griffith JF et al. Quant Imaging Med Surg 2016;6(6):671-679
canal_ap,L1,Cizmic 2023,all,19.06,1.66,SD,"symptomatic patients, Bosnian",200,MSCT,primary,symptomatic cohort,Cizmic M et al. Acta Inform Med 2023;31(3):200-205
canal_ap,L2,Cizmic 2023,all,18.05,1.93,SD,"symptomatic patients, Bosnian",200,MSCT,primary,symptomatic cohort,Cizmic M et al. Acta Inform Med 2023;31(3):200-205
canal_ap,L3,Cizmic 2023,all,16.66,1.95,SD,"symptomatic patients, Bosnian",200,MSCT,primary,symptomatic cohort,Cizmic M et al. Acta Inform Med 2023;31(3):200-205
canal_ap,L4,Cizmic 2023,all,16.79,2.2,SD,"symptomatic patients, Bosnian",200,MSCT,primary,symptomatic cohort,Cizmic M et al. Acta Inform Med 2023;31(3):200-205
canal_ap,L5,Cizmic 2023,all,17.81,2.71,SD,"symptomatic patients, Bosnian",200,MSCT,primary,symptomatic cohort,Cizmic M et al. Acta Inform Med 2023;31(3):200-205
canal_ap,L1,Abbas 2021,M,18.7,1.4,SD,"control arm, Israeli",180,CT,primary,,Abbas J et al. BioMed Res Int 2021:7093745
canal_ap,L2,Abbas 2021,M,17.8,1.6,SD,"control arm, Israeli",180,CT,primary,,Abbas J et al. BioMed Res Int 2021:7093745
canal_ap,L3,Abbas 2021,M,16.9,1.7,SD,"control arm, Israeli",180,CT,primary,,Abbas J et al. BioMed Res Int 2021:7093745
canal_ap,L4,Abbas 2021,M,17.6,1.9,SD,"control arm, Israeli",180,CT,primary,,Abbas J et al. BioMed Res Int 2021:7093745
canal_ap,L5,Abbas 2021,M,18.8,2.2,SD,"control arm, Israeli",180,CT,primary,,Abbas J et al. BioMed Res Int 2021:7093745
canal_ap,L1,Abbas 2021,F,18.7,1.4,SD,"control arm, Israeli",180,CT,primary,,Abbas J et al. BioMed Res Int 2021:7093745
canal_ap,L2,Abbas 2021,F,18.0,1.6,SD,"control arm, Israeli",180,CT,primary,,Abbas J et al. BioMed Res Int 2021:7093745
canal_ap,L3,Abbas 2021,F,17.3,1.5,SD,"control arm, Israeli",180,CT,primary,,Abbas J et al. BioMed Res Int 2021:7093745
canal_ap,L4,Abbas 2021,F,18.0,1.6,SD,"control arm, Israeli",180,CT,primary,,Abbas J et al. BioMed Res Int 2021:7093745
canal_ap,L5,Abbas 2021,F,18.8,2.2,SD,"control arm, Israeli",180,CT,primary,,Abbas J et al. BioMed Res Int 2021:7093745
canal_ap,L1,Masharawi 2021,M,16.42,2.91,SD,"controls, Israeli",50,CT,primary,,Masharawi Y et al. BMC Musculoskelet Disord 2021;22:1023
canal_ap,L2,Masharawi 2021,M,14.81,2.44,SD,"controls, Israeli",50,CT,primary,,Masharawi Y et al. BMC Musculoskelet Disord 2021;22:1023
canal_ap,L3,Masharawi 2021,M,13.49,1.61,SD,"controls, Israeli",50,CT,primary,,Masharawi Y et al. BMC Musculoskelet Disord 2021;22:1023
canal_ap,L4,Masharawi 2021,M,13.62,1.75,SD,"controls, Israeli",50,CT,primary,,Masharawi Y et al. BMC Musculoskelet Disord 2021;22:1023
canal_ap,L5,Masharawi 2021,M,14.39,2.22,SD,"controls, Israeli",50,CT,primary,,Masharawi Y et al. BMC Musculoskelet Disord 2021;22:1023
canal_ap,L1,Masharawi 2021,F,16.33,1.8,SD,"controls, Israeli",50,CT,primary,,Masharawi Y et al. BMC Musculoskelet Disord 2021;22:1023
canal_ap,L2,Masharawi 2021,F,15.14,1.64,SD,"controls, Israeli",50,CT,primary,,Masharawi Y et al. BMC Musculoskelet Disord 2021;22:1023
canal_ap,L3,Masharawi 2021,F,14.5,1.5,SD,"controls, Israeli",50,CT,primary,,Masharawi Y et al. BMC Musculoskelet Disord 2021;22:1023
canal_ap,L4,Masharawi 2021,F,14.21,2.12,SD,"controls, Israeli",50,CT,primary,,Masharawi Y et al. BMC Musculoskelet Disord 2021;22:1023
canal_ap,L5,Masharawi 2021,F,14.84,3.09,SD,"controls, Israeli",50,CT,primary,,Masharawi Y et al. BMC Musculoskelet Disord 2021;22:1023
canal_ap,L1,Amonoo-Kuofi 1985,M,16.6,1.0,SD,"cadaveric dry bone, Nigerian",122,vernier,primary,,Amonoo-Kuofi HS. J Anat 1985;140(1):69-78
canal_ap,L2,Amonoo-Kuofi 1985,M,15.8,1.0,SD,"cadaveric dry bone, Nigerian",122,vernier,primary,,Amonoo-Kuofi HS. J Anat 1985;140(1):69-78
canal_ap,L3,Amonoo-Kuofi 1985,M,14.9,1.0,SD,"cadaveric dry bone, Nigerian",122,vernier,primary,,Amonoo-Kuofi HS. J Anat 1985;140(1):69-78
canal_ap,L4,Amonoo-Kuofi 1985,M,15.6,2.0,SD,"cadaveric dry bone, Nigerian",122,vernier,primary,,Amonoo-Kuofi HS. J Anat 1985;140(1):69-78
canal_ap,L5,Amonoo-Kuofi 1985,M,16.0,2.4,SD,"cadaveric dry bone, Nigerian",122,vernier,primary,,Amonoo-Kuofi HS. J Anat 1985;140(1):69-78
canal_ap,L1,Amonoo-Kuofi 1985,F,15.8,1.2,SD,"cadaveric dry bone, Nigerian",122,vernier,primary,,Amonoo-Kuofi HS. J Anat 1985;140(1):69-78
canal_ap,L2,Amonoo-Kuofi 1985,F,15.1,1.1,SD,"cadaveric dry bone, Nigerian",122,vernier,primary,,Amonoo-Kuofi HS. J Anat 1985;140(1):69-78
canal_ap,L3,Amonoo-Kuofi 1985,F,14.2,1.1,SD,"cadaveric dry bone, Nigerian",122,vernier,primary,,Amonoo-Kuofi HS. J Anat 1985;140(1):69-78
canal_ap,L4,Amonoo-Kuofi 1985,F,14.1,1.3,SD,"cadaveric dry bone, Nigerian",122,vernier,primary,,Amonoo-Kuofi HS. J Anat 1985;140(1):69-78
canal_ap,L5,Amonoo-Kuofi 1985,F,14.6,1.2,SD,"cadaveric dry bone, Nigerian",122,vernier,primary,,Amonoo-Kuofi HS. J Anat 1985;140(1):69-78
canal_ap,T12,Yadav 2020,M,16.19,1.26,SD,"adults, Indian",302,MDCT,primary,,Yadav U et al. Int J Spine Surg 2020;14(2):175-181
canal_ap,L1,Yadav 2020,M,15.68,1.51,SD,"adults, Indian",302,MDCT,primary,,Yadav U et al. Int J Spine Surg 2020;14(2):175-181
canal_ap,L2,Yadav 2020,M,14.57,1.59,SD,"adults, Indian",302,MDCT,primary,,Yadav U et al. Int J Spine Surg 2020;14(2):175-181
canal_ap,L3,Yadav 2020,M,13.45,1.75,SD,"adults, Indian",302,MDCT,primary,,Yadav U et al. Int J Spine Surg 2020;14(2):175-181
canal_ap,L4,Yadav 2020,M,13.29,1.83,SD,"adults, Indian",302,MDCT,primary,,Yadav U et al. Int J Spine Surg 2020;14(2):175-181
canal_ap,L5,Yadav 2020,M,14.73,3.09,SD,"adults, Indian",302,MDCT,primary,,Yadav U et al. Int J Spine Surg 2020;14(2):175-181
canal_ap,T12,Yadav 2020,F,16.33,1.52,SD,"adults, Indian",302,MDCT,primary,,Yadav U et al. Int J Spine Surg 2020;14(2):175-181
canal_ap,L1,Yadav 2020,F,15.85,1.43,SD,"adults, Indian",302,MDCT,primary,,Yadav U et al. Int J Spine Surg 2020;14(2):175-181
canal_ap,L2,Yadav 2020,F,14.74,1.38,SD,"adults, Indian",302,MDCT,primary,,Yadav U et al. Int J Spine Surg 2020;14(2):175-181
canal_ap,L3,Yadav 2020,F,13.66,1.42,SD,"adults, Indian",302,MDCT,primary,,Yadav U et al. Int J Spine Surg 2020;14(2):175-181
canal_ap,L4,Yadav 2020,F,13.4,1.68,SD,"adults, Indian",302,MDCT,primary,,Yadav U et al. Int J Spine Surg 2020;14(2):175-181
canal_ap,L5,Yadav 2020,F,14.67,2.72,SD,"adults, Indian",302,MDCT,primary,,Yadav U et al. Int J Spine Surg 2020;14(2):175-181
canal_ap,L1,Alonge 2021,M,16.43,1.32,SD,"adults, Nigerian",120,CT,primary,,Alonge OJ et al. Afr J Med Med Sci 2021;50:69-76
canal_ap,L2,Alonge 2021,M,15.42,1.48,SD,"adults, Nigerian",120,CT,primary,,Alonge OJ et al. Afr J Med Med Sci 2021;50:69-76
canal_ap,L3,Alonge 2021,M,14.92,1.68,SD,"adults, Nigerian",120,CT,primary,,Alonge OJ et al. Afr J Med Med Sci 2021;50:69-76
canal_ap,L4,Alonge 2021,M,15.4,2.07,SD,"adults, Nigerian",120,CT,primary,,Alonge OJ et al. Afr J Med Med Sci 2021;50:69-76
canal_ap,L5,Alonge 2021,M,16.12,2.61,SD,"adults, Nigerian",120,CT,primary,,Alonge OJ et al. Afr J Med Med Sci 2021;50:69-76
canal_ap,L1,Ahmed 2019,M,14.28,1.16,SD,"symptomatic, Indian",80,1.5 T MRI,primary,,Ahmed MA et al. J Chalmeda Anand Rao Inst Med Sci 2019;17(1):21-27
canal_ap,L2,Ahmed 2019,M,13.33,1.24,SD,"symptomatic, Indian",80,1.5 T MRI,primary,,Ahmed MA et al. J Chalmeda Anand Rao Inst Med Sci 2019;17(1):21-27
canal_ap,L3,Ahmed 2019,M,12.63,1.47,SD,"symptomatic, Indian",80,1.5 T MRI,primary,,Ahmed MA et al. J Chalmeda Anand Rao Inst Med Sci 2019;17(1):21-27
canal_ap,L4,Ahmed 2019,M,12.88,1.44,SD,"symptomatic, Indian",80,1.5 T MRI,primary,,Ahmed MA et al. J Chalmeda Anand Rao Inst Med Sci 2019;17(1):21-27
canal_ap,L5,Ahmed 2019,M,13.91,2.06,SD,"symptomatic, Indian",80,1.5 T MRI,primary,,Ahmed MA et al. J Chalmeda Anand Rao Inst Med Sci 2019;17(1):21-27
canal_ap,L1,Italian MRI,M,16.1,2.3,SD,"Caucasian adults, Italian",604,1.5 T MRI,primary,,Sagittal Normal Limits of Lumbosacral Spine. J Clin Imaging Sci
canal_ap,L2,Italian MRI,M,14.8,2.2,SD,"Caucasian adults, Italian",604,1.5 T MRI,primary,,Sagittal Normal Limits of Lumbosacral Spine. J Clin Imaging Sci
canal_ap,L3,Italian MRI,M,13.8,2.4,SD,"Caucasian adults, Italian",604,1.5 T MRI,primary,,Sagittal Normal Limits of Lumbosacral Spine. J Clin Imaging Sci
canal_ap,L4,Italian MRI,M,12.9,2.3,SD,"Caucasian adults, Italian",604,1.5 T MRI,primary,,Sagittal Normal Limits of Lumbosacral Spine. J Clin Imaging Sci
canal_ap,L5,Italian MRI,M,13.5,2.3,SD,"Caucasian adults, Italian",604,1.5 T MRI,primary,,Sagittal Normal Limits of Lumbosacral Spine. J Clin Imaging Sci
canal_ap,L1,Italian MRI,F,15.8,2.4,SD,"Caucasian adults, Italian",604,1.5 T MRI,primary,,Sagittal Normal Limits of Lumbosacral Spine. J Clin Imaging Sci
canal_ap,L2,Italian MRI,F,14.6,2.1,SD,"Caucasian adults, Italian",604,1.5 T MRI,primary,,Sagittal Normal Limits of Lumbosacral Spine. J Clin Imaging Sci
canal_ap,L3,Italian MRI,F,13.5,2.3,SD,"Caucasian adults, Italian",604,1.5 T MRI,primary,,Sagittal Normal Limits of Lumbosacral Spine. J Clin Imaging Sci
canal_ap,L4,Italian MRI,F,12.7,2.2,SD,"Caucasian adults, Italian",604,1.5 T MRI,primary,,Sagittal Normal Limits of Lumbosacral Spine. J Clin Imaging Sci
canal_ap,L5,Italian MRI,F,13.9,2.1,SD,"Caucasian adults, Italian",604,1.5 T MRI,primary,,Sagittal Normal Limits of Lumbosacral Spine. J Clin Imaging Sci
disc,L1L2,Shin 2024,all,6.61,1.39,SD,"adults, USA multi-ethnic",700,CT,primary,middle height,Shin D et al. Brain Spine 2024;5:104162
disc,L2L3,Shin 2024,all,7.9,1.59,SD,"adults, USA multi-ethnic",700,CT,primary,middle height,Shin D et al. Brain Spine 2024;5:104162
disc,L3L4,Shin 2024,all,8.83,1.56,SD,"adults, USA multi-ethnic",700,CT,primary,middle height,Shin D et al. Brain Spine 2024;5:104162
disc,L4L5,Shin 2024,all,9.31,1.75,SD,"adults, USA multi-ethnic",700,CT,primary,middle height,Shin D et al. Brain Spine 2024;5:104162
disc,L5S1,Shin 2024,all,8.14,1.9,SD,"adults, USA multi-ethnic",700,CT,primary,middle height,Shin D et al. Brain Spine 2024;5:104162
disc,T12L1,Bach 2019,M,5.6,1.1,unlabelled,"adults, USA",240,CT,primary,"mean of three, dispersion unlabelled",Bach K et al. World Neurosurg 2019;124:e106-e118
disc,L1L2,Bach 2019,M,6.9,1.3,unlabelled,"adults, USA",240,CT,primary,"mean of three, dispersion unlabelled",Bach K et al. World Neurosurg 2019;124:e106-e118
disc,L2L3,Bach 2019,M,8.1,1.4,unlabelled,"adults, USA",240,CT,primary,"mean of three, dispersion unlabelled",Bach K et al. World Neurosurg 2019;124:e106-e118
disc,L3L4,Bach 2019,M,8.7,1.5,unlabelled,"adults, USA",240,CT,primary,"mean of three, dispersion unlabelled",Bach K et al. World Neurosurg 2019;124:e106-e118
